sample_id,customer_message,gold_intent,predicted_intent,routing_decision,agent_reply,human_correctness,llm_correctness,human_groundedness,llm_groundedness,human_relevance,llm_relevance,human_helpfulness,llm_helpfulness,human_tone,llm_tone,human_overall,llm_overall
SMP_01,@AmazonHelp How long does it take for a refund to show on my bank account after returning item #651-6751101?,RETURNS_REFUNDS,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,4.0,4.9,4.7
SMP_02,@AmazonHelp My gift card balance of $100 is not applying at checkout. It says 'Gift card already redeemed' but I never used it!,PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE_HUMAN,"Hello, thanks for reaching out. To investigate charges or billing discrepancies safely (Financial dispute or gift card ledger conflict requiring agent check.), we never ask for card details over public tweets. Please DM us your order ID and the date of charge so our billing team can review your ledger and assist: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_03,@AmazonHelp The delivery person marked order #471-2781813 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,DELIVERY_TRACKING,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because driver misconduct, false delivery confirmation, or courier damage, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_04,@AmazonHelp I want to turn off auto-renewal for my Prime membership before it charges next week.,SUBSCRIPTION_PRIME,SUBSCRIPTION_PRIME,AUTO_HANDLE,"Hello! You can manage your Prime membership benefits, change billing cycles, or turn off auto-renewal anytime by visiting 'Manage Prime Membership': https://www.amazon.com/mc. If you cancelled without using your benefits, an automatic refund will be credited.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.9,5.0
SMP_05,@AmazonHelp Can I apply a promo voucher code after an order #825-5662466 has already been placed?,PAYMENT_BILLING,PAYMENT_BILLING,AUTO_HANDLE,"Hi there, thank you for contacting Amazon Support. Please check our Help Center at https://www.amazon.com/help or DM us your order details if you need personalized assistance.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_06,@AmazonHelp Can I change the delivery slot for order #504-8988585 to evening after 6pm?,CANCELLATION_MODIFICATION,CANCELLATION_MODIFICATION,AUTO_HANDLE,"Hi! If your order hasn't entered the dispatch process yet, you can modify the shipping address or cancel it directly by heading to 'Your Orders' > 'Cancel Items' or 'Change Shipping Address': https://www.amazon.com/gp/your-account/order-history.",5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,4.5,4.5,4.9,4.8
SMP_07,@AmazonHelp The seller on marketplace is refusing to issue a prepaid return label for broken item #333-3063077.,RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because defective goods or marketplace seller dispute requiring amazon a-to-z intervention, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.5,5.0,5.0,5.0,4.8
SMP_08,@AmazonHelp How do I enable 2-step verification for higher account security?,ACCOUNT_SECURITY,ACCOUNT_SECURITY,AUTO_HANDLE,"Hi there, thank you for contacting Amazon Support. Please check our Help Center at https://www.amazon.com/help or DM us your order details if you need personalized assistance.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SMP_09,@AmazonHelp My account has been locked due to 'unusual activity' and I cannot access my digital purchases.,ACCOUNT_SECURITY,ACCOUNT_SECURITY,ESCALATE_HUMAN,"Hi there, we take your account security very seriously. Because critical: account security lockout or potential unauthorized breach, we want to protect your privacy. Please visit our secure Two-Step Verification Account Recovery portal: https://www.amazon.com/help/account-recovery or send us a Direct Message with your account email so a security specialist can verify and unlock your account immediately.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.9,4.9
SMP_10,@AmazonHelp The delivery person marked order #517-5739247 as 'Handed to resident' but nobody was at home.,DELIVERY_TRACKING,DELIVERY_TRACKING,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because driver misconduct, false delivery confirmation, or courier damage, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,4.8
SMP_11,"@AmazonHelp I received a completely used, scratched item instead of brand new for order #504-5630633.",RETURNS_REFUNDS,RETURNS_REFUNDS,ESCALATE_HUMAN,"Hi! We're sorry to hear about this experience. Because defective goods or marketplace seller dispute requiring amazon a-to-z intervention, we would like to look into this directly for you. Please send us a Direct Message with your order number and tracking details so our support team can take immediate action: https://twitter.com/messages/compose?recipient_id=AmazonHelp",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.9
SMP_12,@AmazonHelp Does the Kindle Oasis support USB-C fast charging?,PRODUCT_INQUIRY,SUBSCRIPTION_PRIME,AUTO_HANDLE,"Hello! You can manage your Prime membership benefits, change billing cycles, or turn off auto-renewal anytime by visiting 'Manage Prime Membership': https://www.amazon.com/mc. If you cancelled without using your benefits, an automatic refund will be credited.",4.0,4.0,4.0,4.5,4.0,3.5,4.0,4.5,4.0,4.0,4.0,4.1
SMP_13,@AmazonHelp My account has been locked due to 'unusual activity' and I cannot access my digital purchases.,ACCOUNT_SECURITY,ACCOUNT_SECURITY,ESCALATE_HUMAN,"Hi there, we take your account security very seriously. Because critical: account security lockout or potential unauthorized breach, we want to protect your privacy. Please visit our secure Two-Step Verification Account Recovery portal: https://www.amazon.com/help/account-recovery or send us a Direct Message with your account email so a security specialist can verify and unlock your account immediately.",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.5,4.0,4.9,4.7
SMP_14,@AmazonHelp Can I exchange the shoe size for order #193-5314344 from UK 8 to UK 9?,RETURNS_REFUNDS,RETURNS_REFUNDS,AUTO_HANDLE,"Hello! You can easily initiate a return or request a replacement for damaged or wrong items through our Online Returns Center: https://www.amazon.com/returns. Simply select the item, choose 'Return or Replace', and print your prepaid return shipping label.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.9,5.0
SMP_15,@AmazonHelp Does the Kindle Oasis support USB-C fast charging?,PRODUCT_INQUIRY,SUBSCRIPTION_PRIME,AUTO_HANDLE,"Hello! You can manage your Prime membership benefits, change billing cycles, or turn off auto-renewal anytime by visiting 'Manage Prime Membership': https://www.amazon.com/mc. If you cancelled without using your benefits, an automatic refund will be credited.",4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,3.5,4.0,3.8
