id,customer_message,intent,expected_decision,reason,historical_evidence
GOLD_001,@AmazonHelp My order #402-91823 was supposed to be delivered yesterday by 8pm but tracking says 'Delayed in transit'. When can I expect it?,DELIVERY_TRACKING,AUTO_HANDLE,Standard shipping delay query; can be resolved via automated tracking lookup and revised ETA.,AmazonHelp typically provides tracking links and advises waiting 24-48 hours past the original ETA before escalating.
GOLD_002,"@AmazonHelp The tracking says 'Delivered to resident' at 2 PM today, but I was home and no package arrived. It's not in the porch or with neighbors.",DELIVERY_TRACKING,ESCALATE_HUMAN,"Package marked delivered but missing (potential theft, wrong address delivery, or carrier error) requires investigation and possible re-dispatch/refund.",Agents ask customer to verify safe places and then initiate a carrier investigation via DM.
GOLD_003,@AmazonHelp Why has my parcel been stuck at the sorting facility in Birmingham for 4 days without any update?,DELIVERY_TRACKING,AUTO_HANDLE,Tracking status inquiry without carrier misdelivery; automated system can provide live carrier status and carrier contact info.,Automated response directs customer to tracking portal with carrier contact information.
GOLD_004,@AmazonHelp The delivery driver literally threw my box over the gate and drove off. It made a loud crash!,DELIVERY_TRACKING,ESCALATE_HUMAN,Driver misconduct / mishandling complaint requires human agent logging and dispatch feedback.,AmazonHelp requests specific order and delivery time details to file a carrier incident report.
GOLD_005,@AmazonHelp Can you tell me which courier is delivering my order #112-883719? The tracking number isn't recognized on Hermes.,DELIVERY_TRACKING,AUTO_HANDLE,Factual courier identification request; automated response can identify carrier and correct tracking portal.,Provides correct courier URL and tracking format guidance.
GOLD_006,"@AmazonHelp Ordered with Guaranteed One-Day Delivery for an event today, but it is now rescheduled for Monday. This is unacceptable.",DELIVERY_TRACKING,ESCALATE_HUMAN,Missed guaranteed delivery SLA causing customer distress; requires human agent to issue shipping fee refund or promotional credit.,Support agents refund the delivery surcharge and offer goodwill compensation.
GOLD_007,@AmazonHelp I received the wrong item in my package today. I ordered a blue size M shirt and got a red size XL jacket.,RETURNS_REFUNDS,AUTO_HANDLE,Wrong item delivered; standard return/replacement self-service workflow available in Orders page.,Directs customer to 'Your Orders' > 'Return or Replace Items' to generate a prepaid label.
GOLD_008,"@AmazonHelp Returned my laptop 18 days ago, tracking shows it reached your warehouse on the 3rd, but my £1,200 refund is still not credited.",RETURNS_REFUNDS,ESCALATE_HUMAN,High-value return refund overdue beyond standard SLA (14 days); requires manual accounting check and bank tracing.,Escalated to billing/returns specialist team via secure DM.
GOLD_009,@AmazonHelp The ceramic plates I ordered arrived completely shattered in pieces inside the box. How do I get a replacement?,RETURNS_REFUNDS,AUTO_HANDLE,Damaged goods replacement request; can be handled by standard damage replacement workflow.,Directs customer to the Returns Center with options to attach photos for instant replacement dispatch.
GOLD_010,@AmazonHelp Third-party seller 'TechSuperStore' is refusing my return request even though the item arrived defective within 30 days.,RETURNS_REFUNDS,ESCALATE_HUMAN,Third-party marketplace dispute requiring Amazon A-to-z Guarantee claim filing and human agent intervention.,Guide customer through A-to-z Guarantee claim and manually contact marketplace seller.
GOLD_011,@AmazonHelp I placed an order 10 minutes ago but realized I entered my old apartment address. Can I change the shipping address?,CANCELLATION_MODIFICATION,AUTO_HANDLE,Recent order in 'Not yet dispatched' state; standard address update workflow available in order settings.,Instructs customer how to edit the delivery address in 'Your Orders' before dispatch begins.
GOLD_012,@AmazonHelp Please cancel order #902-11822 immediately. I don't want it anymore and it was already charged.,CANCELLATION_MODIFICATION,AUTO_HANDLE,Order cancellation request; automated system can check dispatch status and trigger cancellation or refusal instructions.,Directs user to cancel button or advises refusing delivery if already dispatched.
GOLD_013,@AmazonHelp My order has already shipped to an address 300 miles away that I haven't lived at in 3 years. The courier won't let me reroute it!,CANCELLATION_MODIFICATION,ESCALATE_HUMAN,Post-dispatch address rerouting failure; requires human agent to contact carrier dispatch for package intercept/return to sender.,Agent contacts logistics partner to issue a package recall.
GOLD_014,@AmazonHelp I noticed two separate charges of $49.99 on my credit card statement for the single order I made on Friday. Please fix this duplicate charge.,PAYMENT_BILLING,ESCALATE_HUMAN,Duplicate financial transaction requires secure verification and payment ledger audit to release authorization hold.,Requests customer to verify billing details securely and reviews authorization holds vs captured charges.
GOLD_015,@AmazonHelp Where can I download the VAT tax invoice for my business purchase order #302-881920?,PAYMENT_BILLING,AUTO_HANDLE,Standard invoice retrieval request; self-service download link can be provided automatically.,Provides direct path: 'Your Orders' > 'Invoice / Order Details' > 'Download VAT Invoice'.
GOLD_016,@AmazonHelp My gift card balance of $100 is not applying at checkout. It says 'Gift card already redeemed' but I never used it!,PAYMENT_BILLING,ESCALATE_HUMAN,Potential gift card fraud / redemption conflict requires human agent to check claim code redemption history.,Directs customer to secure support channel to review gift card redemption timestamps.
GOLD_017,"@AmazonHelp I was charged £79 for an annual Amazon Prime renewal today, but I didn't want to renew. Can I cancel and get a full refund?",SUBSCRIPTION_PRIME,AUTO_HANDLE,"Standard Prime auto-renewal cancellation; if no Prime benefits were used since renewal, the automated system issues an automatic refund upon cancellation.",Guides user to 'Manage Prime Membership' > 'End Membership and Benefits' where full refund is calculated.
GOLD_018,@AmazonHelp Getting error code 5004 on Prime Video whenever I try to stream on my Samsung Smart TV.,SUBSCRIPTION_PRIME,AUTO_HANDLE,"Known digital streaming playback error; standard troubleshooting steps (clear app cache, re-register device, check network) apply.",Provides step-by-step device de-registration and app reset instructions.
GOLD_019,@AmazonHelp I am being charged monthly for Prime Video on a student account that was supposed to have 6 months free trial.,SUBSCRIPTION_PRIME,ESCALATE_HUMAN,Student verification / promotional billing discrepancy requires agent to verify academic enrollment proof and credit the account.,Agent checks Prime Student validation status and refunds charged months.
GOLD_020,"@AmazonHelp I just received an email saying my account password and email were changed, but I did not request this! I am locked out.",ACCOUNT_SECURITY,ESCALATE_HUMAN,CRITICAL: Severe account takeover / breach in progress. Immediate human security team escalation required to freeze account.,Emergency protocol: Agent immediately initiates security lock and provides account recovery link via phone/2FA verification.
